SMILES,Vina Score,Molecular Weight,verdict,failures
Cc1cc(C)n(-c2cc(N3CCN(C(=O)[C@H]4CCCN4S(=O)(=O)c4c(Cl)cccc4Cl)CC3)ncn2)n1,-10.81,564.499,PASS,
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCN(c5ccnc(C(F)(F)F)c5)C(=O)C4)cn1c23,-10.8,508.4030000000002,PASS,
Cc1ccc2nc(N3CC(C(=O)N4CCN(c5ncnc6c5nnn6-c5cccc(F)c5)CC4)C3)sc2c1,-10.8,529.6050000000002,PASS,
O=C(c1ccccc1S(=O)(=O)C(F)F)N1CCN(c2ncnc3c2nnn3-c2cccc(F)c2)CC1,-10.79,517.4930000000002,PASS,
Cc1ncnc(N2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc(C(F)(F)F)c3)CC2)c1F,-10.79,501.50600000000014,PASS,
CC(=O)N1CCN(c2cc(N3CC(=O)N4CCc5c(F)cccc5[C@@H]4C3)nc(-c3ccc(C)cc3)n2)CC1,-10.78,514.6050000000001,PASS,
C=CC(=O)N1CCN(c2nc(N3CC(N(C)C)C3)nc3c2C[C@@H](C)[C@H](c2c(Cl)c(C)cc4n[nH]cc24)C3)CC1,-10.78,549.123,PASS,
Cc1nc2cc(F)ccc2c(=O)n1CC1CCN(C(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2F)CC1,-10.78,530.5970000000001,PASS,
Cc1noc(/C=C/c2ccc(F)cc2F)c1S(=O)(=O)N1CCC(C(=O)N2CCN(c3ncccn3)CC2)CC1,-10.78,558.611,PASS,
O=C([C@H]1CC(=O)N(c2ccc(F)c(Cl)c2)C1)N1CCc2c(nc3cc(-c4ccccc4)[nH]n3c2=O)C1,-10.77,505.9370000000003,PASS,
Cc1cc(N2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3c(Cl)cccc3Cl)CC2)nc(N2CCCC2)n1,-10.77,553.5160000000002,PASS,
O=S(=O)(c1ccccc1F)N1CCC[C@@H](c2nc(O)c3nnn(Cc4cccc(Cl)c4)c3n2)C1,-10.76,502.9590000000002,PASS,
O=C(c1ccccc1F)N1CCN(c2nc(CN3CCN(Cc4ccc(F)cc4)CC3)cc(=O)[nH]2)CC1,-10.75,508.5730000000003,PASS,
Cc1cccc(-n2ncc3c(=O)n4c(nc32)S[C@@H](CC(=O)N2CCN(C)C[C@H]2c2cccc(F)c2)C4)c1,-10.75,518.6180000000004,PASS,
COc1cccc(N2C[C@H](C(=O)N3CCN(C(=O)[C@@H]4CC(=O)N(c5ccc(C)c(F)c5)C4)CC3)CC2=O)c1,-10.74,522.5770000000005,PASS,
CC(C)Oc1ccc(N2C[C@H](C(=O)N3CCN(C(=O)[C@H]4CC(=O)N(c5ccccc5F)C4)CC3)CC2=O)cc1,-10.73,536.6040000000004,PASS,
Cc1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CC(=O)N3CCc4c(F)cccc4[C@@H]3C2)cc1C,-10.72,515.5850000000004,PASS,
